2013-07-01	303943	16650
2013-07-02	318775	22745
2013-07-03	309218	21864
2013-07-04	212037	22326
2013-07-05	235042	21842
2013-07-06	227646	20467
2013-07-07	237292	20477
2013-07-08	298995	21615
2013-07-09	331950	26641
2013-07-10	344110	25732
2013-07-11	358247	24417
2013-07-12	357732	19006
2013-07-13	308715	26119
2013-07-14	290477	29287
2013-07-15	321089	28069
2013-07-16	338486	29842
2013-07-17	359115	30550
2013-07-18	369913	28869
2013-07-19	363751	26591
2013-07-20	318032	25278
2013-07-21	276062	30297
2013-07-22	317724	25979
2013-07-23	337243	32376
2013-07-24	343631	35271
2013-07-25	352415	31084
2013-07-26	340597	34534
2013-07-27	300899	32470
2013-07-28	275446	23508
2013-07-29	294760	34915
2013-07-30	320560	37334
2013-07-31	332379	37261
2013-08-01	241362	20138
2013-08-02	188557	35792
2013-08-03	162986	29540
2013-08-04	147159	35253
2013-08-05	292007	36776
2013-08-06	323782	37702
2013-08-07	335498	34396
2013-08-08	316869	28366
2013-08-09	343476	29017
2013-08-10	290763	37201
2013-08-11	116958	33060
2013-08-12	287981	31457
2013-08-13	324565	22437
2013-08-14	330101	38150
2013-08-15	338801	37386
2013-08-16	315094	35991
2013-08-17	285984	37285
2013-08-18	261103	27612
2013-08-19	284650	33127
2013-08-20	311974	35843
2013-08-21	326016	36315
2013-08-22	338361	26629
2013-08-23	324645	33503
2013-08-24	294070	32941
2013-08-25	265241	31755
2013-08-26	282706	29979
2013-08-27	305962	34208
2013-08-28	320879	28185
2013-08-29	326868	34215
2013-08-30	316003	32318
2013-08-31	280987	25381
2013-09-01	247870	25235
2013-09-02	220994	21416
2013-09-03	307622	32411
2013-09-04	329186	36798
2013-09-05	333522	35825
2013-09-06	358230	35868
2013-09-07	337627	34419
2013-09-08	312419	33196
2013-09-09	328064	35394
2013-09-10	352294	36954
2013-09-11	364921	35812
2013-09-12	364941	31252
2013-09-13	371718	36501
2013-09-14	341517	31607
2013-09-15	313047	31914
2013-09-16	324443	31287
2013-09-17	341526	38283
2013-09-18	352538	37957
2013-09-19	365117	39200
2013-09-20	368532	39382
2013-09-21	351973	31826
2013-09-22	307459	29758
2013-09-23	299238	35152
2013-09-24	317298	38417
2013-09-25	336733	38223
2013-09-26	351331	38189
2013-09-27	354676	37412
2013-09-28	345453	34931
2013-09-29	308033	32592
2013-09-30	309835	37148
2013-10-01	331378	40575
2013-10-02	347576	41383
2013-10-03	360579	40456
2013-10-04	369390	40195
2013-10-05	356938	34181
2013-10-06	310004	26574
2013-10-07	311382	25016
2013-10-08	336610	38365
2013-10-09	354443	36969
2013-10-10	367096	31171
2013-10-11	364310	33357
2013-10-12	344903	32457
2013-10-13	308350	28832
2013-10-14	287681	33018
2013-10-15	314652	37534
2013-10-16	348556	36911
2013-10-17	367369	36888
2013-10-18	371566	38122
2013-10-19	362739	29548
2013-10-20	318232	29256
2013-10-21	319217	35012
2013-10-22	341933	36338
2013-10-23	362059	32365
2013-10-24	371720	32251
2013-10-25	375658	30979
2013-10-26	353291	24569
2013-10-27	314875	23965
2013-10-28	314738	31498
2013-10-29	339342	33414
2013-10-30	353029	35069
2013-10-31	351467	31444
2013-11-01	388688	30384
2013-11-02	362214	31013
2013-11-03	323676	20798
2013-11-04	325105	27142
2013-11-05	342125	31493
2013-11-06	353217	34826
2013-11-07	367419	25719
2013-11-08	372267	28686
2013-11-09	358342	21734
