5	20	5025488
5	21	4939986
5	22	5099782
5	23	5060568
3	3	578033
3	2	859156
3	1	1366969
3	0	2290313
3	7	3776075
3	6	2102508
3	5	785935
3	4	533893
3	9	4241015
3	8	4459776
6	21	4539740
6	20	4573064
6	23	5138149
6	22	4917011
2	8	4374320
2	9	4163508
2	6	2074896
2	7	3682523
2	4	463663
2	5	771376
2	2	696996
2	3	466167
2	0	1860077
2	1	1111662
6	14	4098480
6	15	4070125
6	16	3595149
6	17	4095885
6	10	3440167
6	11	3878568
6	12	4157328
6	13	4224040
6	18	4800236
6	19	5048453
2	21	4889479
2	20	4908175
2	23	3473958
2	22	4471353
4	18	4903001
4	19	5263232
4	16	3052824
4	17	3860692
4	14	4045577
4	15	3759325
4	12	3926004
4	13	3867474
4	10	3803211
4	11	3777743
7	22	3102433
7	23	2535419
7	20	3486463
7	21	3336056
4	23	4483185
4	22	4997919
4	21	5203306
4	20	5175160
5	1	2291203
5	0	3459472
5	3	1025509
5	2	1522389
5	5	873347
5	4	813138
5	7	3493384
5	6	2010301
5	9	4058076
5	8	4188790
4	8	4406719
4	9	4204255
1	19	4698959
1	18	4734523
4	4	600882
4	5	819647
4	6	2115182
4	7	3751921
4	0	2634942
4	1	1601643
1	11	3384052
4	2	1024857
1	10	3395906
4	3	675572
7	19	3820994
1	13	3511220
7	18	4074539
1	12	3530673
1	15	3700175
1	14	3747035
1	17	3952971
1	16	3282898
7	13	3994804
7	12	3985632
7	11	3681050
7	10	3157702
7	17	3791462
7	16	3520517
7	15	3784387
7	14	3983644
3	22	4773926
3	23	3892048
3	20	5061642
3	21	5074113
2	10	3719484
1	9	3782338
2	11	3677275
1	8	3887637
2	12	3810077
2	13	3768881
1	5	801232
2	14	3993057
1	4	520168
2	15	3795414
1	7	3271343
2	16	3166494
1	6	1955435
2	17	3955907
2	18	4953362
1	1	1068080
2	19	5097052
1	0	1765125
1	3	491429
1	2	701917
3	17	3927989
3	16	3119992
3	15	3783565
3	14	4014606
7	7	1062704
3	13	3863948
7	6	821867
3	12	3939960
7	5	847338
3	11	3803408
7	4	1821368
3	10	3810560
7	3	2832964
7	2	3573606
7	1	4390924
7	0	4850069
3	19	5248786
3	18	4935804
7	9	2316628
7	8	1569269
5	19	5326725
5	18	4906510
5	15	3703082
5	14	4032307
5	17	3890582
5	16	3078097
5	11	3756696
5	10	3730154
5	13	3783899
5	12	3858567
1	20	4361342
1	21	4192591
1	22	3731495
1	23	2791631
6	2	3330446
6	3	2484887
6	0	4704064
6	1	4043017
6	6	937698
6	7	1351554
6	4	1605158
6	5	809936
6	8	2032838
6	9	2864121
